date,durable_goods_orders,total_mfg_orders,total_mfg_shipments,total_mfg_inventories,ppi,dgo_yoy,orders_yoy,shipments_yoy,ppi_yoy,orders_to_inventory,oti_12m_avg,dgo_12m_avg,period_label
1992-02-01,114535,223500,228860,376757,116.0,,,,,0.59,,,Normal
1992-03-01,120025,233732,238604,377688,116.1,,,,,0.62,,,Normal
1992-04-01,124470,238173,239877,377491,116.3,,,,,0.63,,,Normal
1992-05-01,125822,241916,243732,377450,117.2,,,,,0.64,,,Normal
1992-06-01,122834,240660,245693,377055,118.0,,,,,0.64,,,Normal
1992-07-01,122590,238609,245608,377301,117.9,,,,,0.63,,,Normal
1992-08-01,120411,235633,242874,379317,117.7,,,,,0.62,,,Normal
1992-09-01,120711,239052,244894,379343,118.0,,,,,0.63,,,Normal
1992-10-01,127392,242803,243190,379138,118.1,,,,,0.64,,,Normal
1992-11-01,122374,240286,246901,377990,117.8,,,,,0.64,,,Normal
1992-12-01,126080,244173,248199,378609,117.6,,,,,0.64,,,Normal
1993-01-01,121637,239924,247812,376454,118.0,,,,,0.64,0.63,122406.75,Normal
1993-02-01,128854,247176,249517,376070,118.4,12.5,10.59,9.03,2.07,0.66,0.64,123600.0,Normal
1993-03-01,126762,245506,250346,377886,118.7,5.61,5.04,4.92,2.24,0.65,0.64,124161.42,Normal
1993-04-01,127395,244703,248681,378720,119.3,2.35,2.74,3.67,2.58,0.65,0.64,124405.17,Normal
1993-05-01,126529,245194,251798,378707,119.7,0.56,1.36,3.31,2.13,0.65,0.64,124464.08,Normal
1993-06-01,130212,249521,253388,379336,119.5,6.01,3.68,3.13,1.27,0.66,0.64,125078.92,Normal
1993-07-01,128111,245765,248759,378300,119.2,4.5,3.0,1.28,1.1,0.65,0.64,125539.0,Normal
1993-08-01,129378,246562,249283,378664,118.7,7.45,4.64,2.64,0.85,0.65,0.65,126286.25,Normal
1993-09-01,127233,245731,252679,379925,118.7,5.4,2.79,3.18,0.59,0.65,0.65,126829.75,Normal
1993-10-01,133168,251656,256449,379690,119.1,4.53,3.65,5.45,0.85,0.66,0.65,127311.08,Normal
1993-11-01,130391,247827,255017,379820,119.0,6.55,3.14,3.29,1.02,0.65,0.65,127979.17,Normal
1993-12-01,133565,250057,256087,379806,118.6,5.94,2.41,3.18,0.85,0.66,0.65,128602.92,Normal
1994-01-01,138498,257125,259834,380801,119.1,13.86,7.17,4.85,0.93,0.68,0.65,130008.0,Normal
1994-02-01,137141,256624,261152,381749,119.3,6.43,3.82,4.66,0.76,0.67,0.66,130698.58,Normal
1994-03-01,136548,257190,261862,382683,119.7,7.72,4.76,4.6,0.84,0.67,0.66,131514.08,Normal
1994-04-01,140336,260006,263499,383704,119.7,10.16,6.25,5.96,0.34,0.68,0.66,132592.5,Normal
1994-05-01,142630,263419,266632,385942,119.9,12.73,7.43,5.89,0.17,0.68,0.66,133934.25,Normal
1994-06-01,145063,267027,268116,387435,120.5,11.41,7.02,5.81,0.84,0.69,0.67,135171.83,Normal
1994-07-01,145013,267694,271246,391062,120.7,13.19,8.92,9.04,1.26,0.68,0.67,136580.33,Normal
1994-08-01,145884,269994,273778,392407,121.2,12.76,9.5,9.83,2.11,0.69,0.67,137955.83,Normal
1994-09-01,145487,270377,272898,392820,121.0,14.35,10.03,8.0,1.94,0.69,0.68,139477.0,Normal
1994-10-01,149547,275087,276184,394981,120.9,12.3,9.31,7.7,1.51,0.7,0.68,140841.92,Normal
1994-11-01,150038,276477,279548,397511,121.5,15.07,11.56,9.62,2.1,0.7,0.68,142479.17,Normal
1994-12-01,152489,282738,286731,399934,121.9,14.17,13.07,11.97,2.78,0.71,0.69,144056.17,Normal
1995-01-01,150459,279692,286480,403311,122.9,8.64,8.78,10.26,3.19,0.69,0.69,145052.92,Normal
1995-02-01,153856,284915,288455,406325,123.5,12.19,11.02,10.45,3.52,0.7,0.69,146445.83,Normal
1995-03-01,152888,282195,284903,409908,123.9,11.97,9.72,8.8,3.51,0.69,0.69,147807.5,Normal
1995-04-01,151401,283370,289640,412519,124.6,7.88,8.99,9.92,4.09,0.69,0.69,148729.58,Normal
1995-05-01,152838,282955,285641,416185,124.9,7.16,7.42,7.13,4.17,0.68,0.69,149580.25,Normal
1995-06-01,150051,281900,288557,417940,125.3,3.44,5.57,7.62,3.98,0.67,0.69,149995.92,Normal
1995-07-01,148915,281269,287862,419612,125.3,2.69,5.07,6.13,3.81,0.67,0.69,150321.08,Normal
1995-08-01,154372,285979,289737,420051,125.1,5.82,5.92,5.83,3.22,0.68,0.69,151028.42,Normal
1995-09-01,160175,293326,295286,422786,125.2,10.1,8.49,8.2,3.47,0.69,0.69,152252.42,Normal
1995-10-01,155473,287568,292655,423789,125.3,3.96,4.54,5.96,3.64,0.68,0.69,152746.25,Normal
1995-11-01,156146,287704,291561,423419,125.4,4.07,4.06,4.3,3.21,0.68,0.69,153255.25,Normal
1995-12-01,163279,297684,300609,424802,125.7,7.08,5.29,4.84,3.12,0.7,0.69,154154.42,Normal
1996-01-01,155806,285822,286897,427759,126.3,3.55,2.19,0.15,2.77,0.67,0.68,154600.0,Normal
1996-02-01,150773,277940,282115,427813,126.2,-2.0,-2.45,-2.2,2.19,0.65,0.68,154343.08,Normal
1996-03-01,164976,298862,294562,428326,126.4,7.91,5.91,3.39,2.02,0.7,0.68,155350.42,Normal
1996-04-01,156830,290320,295365,427475,127.4,3.59,2.45,1.98,2.25,0.68,0.68,155802.83,Normal
1996-05-01,164502,298700,299775,426778,128.1,7.63,5.56,4.95,2.56,0.7,0.68,156774.83,Normal
1996-06-01,164599,299606,303281,426637,128.0,9.7,6.28,5.1,2.15,0.7,0.68,157987.17,Normal
1996-07-01,163588,298909,300234,426960,128.0,9.85,6.27,4.3,2.15,0.7,0.69,159209.92,Normal
1996-08-01,157310,293231,301541,427462,128.3,1.9,2.54,4.07,2.56,0.69,0.69,159454.75,Normal
1996-09-01,165442,302015,305155,429060,128.2,3.29,2.96,3.34,2.4,0.7,0.69,159893.67,Normal
1996-10-01,165266,301595,301294,429727,128.0,6.3,4.88,2.95,2.15,0.7,0.69,160709.75,Normal
1996-11-01,170783,309537,308575,430595,128.2,9.37,7.59,5.84,2.23,0.72,0.69,161929.5,Normal
1996-12-01,162332,300179,307211,430366,129.1,-0.58,0.84,2.2,2.7,0.7,0.69,161850.58,Normal
1997-01-01,161827,300765,307245,431496,129.7,3.86,5.23,7.09,2.69,0.7,0.69,162352.33,Normal
1997-02-01,170221,310604,314468,431959,128.5,12.9,11.75,11.47,1.82,0.72,0.7,163973.0,Normal
1997-03-01,167568,307465,315502,431905,127.3,1.57,2.88,7.11,0.71,0.71,0.7,164189.0,Normal
1997-04-01,174054,313694,318065,434015,127.0,10.98,8.05,7.69,-0.31,0.72,0.71,165624.33,Normal
1997-05-01,168586,308733,315083,435337,127.4,2.48,3.36,5.11,-0.55,0.71,0.71,165964.67,Normal
1997-06-01,174828,315090,320189,435773,127.2,6.21,5.17,5.58,-0.62,0.72,0.71,166817.08,Normal
1997-07-01,178860,318485,322797,436687,126.9,9.34,6.55,7.52,-0.86,0.73,0.71,168089.75,Normal
1997-08-01,177302,319106,323033,438432,127.2,12.71,8.82,7.13,-0.86,0.73,0.71,169755.75,Normal
1997-09-01,177835,318687,323085,439531,127.5,7.49,5.52,5.88,-0.55,0.73,0.72,170788.5,Normal
1997-10-01,177801,319565,322444,442038,127.8,7.58,5.96,7.02,-0.16,0.72,0.72,171833.08,Normal
1997-11-01,191187,334896,328845,441805,127.9,11.95,8.19,6.57,-0.23,0.76,0.72,173533.42,Normal
1997-12-01,173770,315121,325351,443227,126.8,7.05,4.98,5.9,-1.78,0.71,0.72,174486.58,Normal
1998-01-01,174288,315893,321264,445182,125.4,7.7,5.03,4.56,-3.32,0.71,0.72,175525.0,Normal
1998-02-01,181270,322715,329617,447466,125.0,6.49,3.9,4.82,-2.72,0.72,0.72,176445.75,Normal
1998-03-01,176886,317454,328480,448486,124.7,5.56,3.25,4.11,-2.04,0.71,0.72,177222.25,Normal
1998-04-01,180915,320388,324127,449663,124.9,3.94,2.13,1.91,-1.65,0.71,0.72,177794.0,Normal
1998-05-01,180634,320787,326081,450268,125.1,7.15,3.9,3.49,-1.81,0.71,0.72,178798.0,Normal
1998-06-01,172189,311219,318990,451186,124.8,-1.51,-1.23,-0.37,-1.89,0.69,0.72,178578.08,Normal
1998-07-01,170459,308769,316408,451307,124.9,-4.7,-3.05,-1.98,-1.58,0.68,0.72,177878.0,Normal
1998-08-01,179033,318026,323533,451138,124.2,0.98,-0.34,0.15,-2.36,0.7,0.71,178022.25,Normal
1998-09-01,181422,319546,325676,450938,123.8,2.02,0.27,0.8,-2.9,0.71,0.71,178321.17,Normal
1998-10-01,178527,315959,327376,451993,124.0,0.41,-1.13,1.53,-2.97,0.7,0.71,178381.67,Normal
1998-11-01,182400,319291,328263,451956,123.6,-4.6,-4.66,-0.18,-3.36,0.71,0.71,177649.42,Normal
1998-12-01,178424,315467,327621,448373,122.8,2.68,0.11,0.7,-3.15,0.7,0.71,178037.25,Normal
1999-01-01,186527,324278,329778,446610,122.9,7.02,2.65,2.65,-1.99,0.73,0.71,179057.17,Normal
1999-02-01,185546,324617,332449,446919,122.3,2.36,0.59,0.86,-2.16,0.73,0.71,179413.5,Normal
1999-03-01,184689,322604,328330,448820,122.6,4.41,1.62,-0.05,-1.68,0.72,0.71,180063.75,Normal
1999-04-01,182993,321414,330637,448517,123.6,1.15,0.32,2.01,-1.04,0.72,0.71,180236.92,Normal
1999-05-01,185963,325581,334737,450139,124.7,2.95,1.49,2.65,-0.32,0.72,0.71,180681.0,Normal
1999-06-01,182590,323793,333629,449738,125.2,6.04,4.04,4.59,0.32,0.72,0.71,181547.75,Normal
1999-07-01,189083,330548,334383,451770,125.7,10.93,7.05,5.68,0.64,0.73,0.72,183099.75,Normal
1999-08-01,189414,332510,339874,452018,126.9,5.8,4.55,5.05,2.17,0.74,0.72,183964.83,Normal
1999-09-01,188910,333492,338283,454847,128.0,4.13,4.36,3.87,3.39,0.73,0.72,184588.83,Normal
1999-10-01,194547,341407,343993,455920,127.7,8.97,8.05,5.08,2.98,0.75,0.72,185923.83,Normal
1999-11-01,186597,334281,342887,459768,128.3,2.3,4.69,4.45,3.8,0.73,0.73,186273.58,Normal
1999-12-01,196344,344248,344275,463004,127.8,10.04,9.12,5.08,4.07,0.74,0.73,187766.92,Normal
2000-01-01,201360,350725,352617,463496,128.3,7.95,8.16,6.93,4.39,0.76,0.73,189003.0,Normal
2000-02-01,183911,331991,339991,466513,129.8,-0.88,2.27,2.27,6.13,0.71,0.73,188866.75,Normal
2000-03-01,192130,344182,349386,467223,130.8,4.03,6.69,6.41,6.69,0.74,0.73,189486.83,Normal
2000-04-01,195044,347917,355440,469884,130.7,6.59,8.25,7.5,5.74,0.74,0.73,190491.08,Normal
2000-05-01,188606,340085,349201,470210,131.6,1.42,4.45,4.32,5.53,0.72,0.73,190711.33,Normal
2000-06-01,219745,374700,354776,474316,133.8,20.35,15.72,6.34,6.87,0.79,0.74,193807.58,Normal
2000-07-01,189265,343351,351342,475759,133.7,0.1,3.87,5.07,6.36,0.72,0.74,193822.75,Normal
2000-08-01,188730,340728,346480,477559,132.9,-0.36,2.47,1.94,4.73,0.71,0.74,193765.75,Normal
2000-09-01,199947,354557,356101,477896,134.7,5.84,6.32,5.27,5.23,0.74,0.74,194685.5,Normal
2000-10-01,186158,339610,348744,479716,135.4,-4.31,-0.53,1.38,6.03,0.71,0.73,193986.42,Normal
2000-11-01,189392,343578,346841,482228,135.0,1.5,2.78,1.15,5.22,0.71,0.73,194219.33,Normal
2000-12-01,188659,343858,351481,480748,136.2,-3.91,-0.11,2.09,6.57,0.72,0.73,193578.92,Normal
2001-01-01,177056,331600,342456,483066,140.0,-12.07,-5.45,-2.88,9.12,0.69,0.73,191553.58,Normal
2001-02-01,180276,335205,346340,478318,137.4,-1.98,0.97,1.87,5.86,0.7,0.72,191250.67,Normal
2001-03-01,182209,333486,339850,473309,135.9,-5.16,-3.11,-2.73,3.9,0.7,0.72,190423.92,2001 Recession
2001-04-01,171850,321890,330760,470260,136.4,-11.89,-7.48,-6.94,4.36,0.68,0.72,188491.08,2001 Recession
2001-05-01,177749,329643,337868,465875,136.8,-5.76,-3.07,-3.25,3.95,0.71,0.72,187586.33,2001 Recession
2001-06-01,176350,324044,331263,460435,135.5,-19.75,-13.52,-6.63,1.27,0.7,0.71,183970.08,2001 Recession
2001-07-01,170129,318401,327673,454235,133.4,-10.11,-7.27,-6.74,-0.22,0.7,0.71,182375.42,2001 Recession
